frame_info.encap_type,frame_info.time,frame_info.time_epoch,frame_info.number,frame_info.len,frame_info.cap_len,eth.type,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
1,"Aug 11, 2024 01:53:41.988604000 EDT",1723355621.988604000,20,60,60,0x0800,4,20,,0x0a58,0x00,0,0,0,0,254,6,0x32a3,192.168.255.1,192.168.255.129,40,0x00,63019,26239,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x47a6,0,
1,"Aug 11, 2024 01:53:41.988605000 EDT",1723355621.988605000,21,60,60,0x0800,4,20,,0x65d7,0x00,0,0,0,0,254,6,0xd723,192.168.255.1,192.168.255.129,40,0x00,63019,57357,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xf6f2,0,
1,"Aug 11, 2024 01:53:41.988610000 EDT",1723355621.988610000,22,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,26239,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0x4b93,0,
1,"Aug 11, 2024 01:53:41.988642000 EDT",1723355621.988642000,23,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,57357,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0xfadf,0,
1,"Aug 11, 2024 01:53:41.998191000 EDT",1723355621.998191000,24,60,60,0x0800,4,20,,0xfbad,0x00,0,0,0,0,254,6,0x414d,192.168.255.1,192.168.255.129,40,0x00,63019,36162,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x8042,0,
1,"Aug 11, 2024 01:53:42.008072000 EDT",1723355622.008072000,25,60,60,0x0800,4,20,,0x547b,0x00,0,0,0,0,254,6,0xe87f,192.168.255.1,192.168.255.129,40,0x00,63019,7194,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x260e,0,
1,"Aug 11, 2024 01:53:42.015922000 EDT",1723355622.015922000,26,178,178,0x0800,4,20,,0x846c,0x02,0,1,0,0,128,6,0xf612,192.168.255.1,192.168.255.129,164,0x00,63117,22,1,85,124,20,0x0018,0,0,0,1,1,0,0,4101,0x41db,0,
1,"Aug 11, 2024 01:53:42.015947000 EDT",1723355622.015947000,27,54,54,0x0800,4,20,,0xc532,0x02,0,1,0,0,64,6,0xf5c0,192.168.255.129,192.168.255.1,40,0x08,22,63117,85,125,0,20,0x0010,0,0,0,0,1,0,0,6265,0x7fef,0,
1,"Aug 11, 2024 01:53:42.018098000 EDT",1723355622.018098000,28,60,60,0x0800,4,20,,0xc671,0x00,0,0,0,0,254,6,0x7689,192.168.255.1,192.168.255.129,40,0x00,63019,21321,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x7337,0,
1,"Aug 11, 2024 01:53:42.028108000 EDT",1723355622.028108000,29,60,60,0x0800,4,20,,0xa312,0x00,0,0,0,0,254,6,0x99e8,192.168.255.1,192.168.255.129,40,0x00,63019,18834,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x084a,0,
1,"Aug 11, 2024 01:53:42.038029000 EDT",1723355622.038029000,30,60,60,0x0800,4,20,,0xf4ee,0x00,0,0,0,0,254,6,0x480c,192.168.255.1,192.168.255.129,40,0x00,63019,6913,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x5320,0,
1,"Aug 11, 2024 01:53:42.048060000 EDT",1723355622.048060000,31,60,60,0x0800,4,20,,0xe828,0x00,0,0,0,0,254,6,0x54d2,192.168.255.1,192.168.255.129,40,0x00,63019,3668,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x18df,0,
1,"Aug 11, 2024 01:53:42.058080000 EDT",1723355622.058080000,32,60,60,0x0800,4,20,,0xe67e,0x00,0,0,0,0,254,6,0x567c,192.168.255.1,192.168.255.129,40,0x00,63019,21719,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x006d,0,
1,"Aug 11, 2024 01:53:42.068084000 EDT",1723355622.068084000,33,60,60,0x0800,4,20,,0x0a59,0x00,0,0,0,0,254,6,0x32a2,192.168.255.1,192.168.255.129,40,0x00,63019,26239,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x46f3,0,
1,"Aug 11, 2024 01:53:42.078144000 EDT",1723355622.078144000,34,60,60,0x0800,4,20,,0x65d0,0x00,0,0,0,0,254,6,0xd72a,192.168.255.1,192.168.255.129,40,0x00,63019,57357,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0xf63f,0,
1,"Aug 11, 2024 01:53:42.088102000 EDT",1723355622.088102000,35,60,60,0x0800,4,20,,0xd3c5,0x00,0,0,0,0,254,6,0x6935,192.168.255.1,192.168.255.129,40,0x00,63019,22556,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x3d84,0,
1,"Aug 11, 2024 01:53:42.088117000 EDT",1723355622.088117000,36,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,22556,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0x4171,0,
1,"Aug 11, 2024 01:53:42.098112000 EDT",1723355622.098112000,37,60,60,0x0800,4,20,,0xd3c4,0x00,0,0,0,0,254,6,0x6936,192.168.255.1,192.168.255.129,40,0x00,63019,22556,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x3cd1,0,
1,"Aug 11, 2024 01:53:42.108047000 EDT",1723355622.108047000,38,60,60,0x0800,4,20,,0x31bd,0x00,0,0,0,0,254,6,0x0b3e,192.168.255.1,192.168.255.129,40,0x00,63019,36849,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x4e86,0,
1,"Aug 11, 2024 01:53:42.108063000 EDT",1723355622.108063000,39,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,36849,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0x5273,0,
1,"Aug 11, 2024 01:53:42.118174000 EDT",1723355622.118174000,40,60,60,0x0800,4,20,,0x31be,0x00,0,0,0,0,254,6,0x0b3d,192.168.255.1,192.168.255.129,40,0x00,63019,36849,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x4dd3,0,
1,"Aug 11, 2024 01:53:42.128106000 EDT",1723355622.128106000,41,60,60,0x0800,4,20,,0x76ed,0x00,0,0,0,0,254,6,0xc60d,192.168.255.1,192.168.255.129,40,0x00,63019,2639,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xd578,0,
1,"Aug 11, 2024 01:53:42.128124000 EDT",1723355622.128124000,42,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,2639,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0xd965,0,
1,"Aug 11, 2024 01:53:42.138120000 EDT",1723355622.138120000,43,60,60,0x0800,4,20,,0x76ea,0x00,0,0,0,0,254,6,0xc610,192.168.255.1,192.168.255.129,40,0x00,63019,2639,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0xd4c5,0,
1,"Aug 11, 2024 01:53:42.148181000 EDT",1723355622.148181000,44,60,60,0x0800,4,20,,0x0c5e,0x00,0,0,0,0,254,6,0x309d,192.168.255.1,192.168.255.129,40,0x00,63019,49679,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x054f,0,
1,"Aug 11, 2024 01:53:42.148202000 EDT",1723355622.148202000,45,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,49679,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0x093c,0,
1,"Aug 11, 2024 01:53:42.158098000 EDT",1723355622.158098000,46,60,60,0x0800,4,20,,0x0c5f,0x00,0,0,0,0,254,6,0x309c,192.168.255.1,192.168.255.129,40,0x00,63019,49679,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x049c,0,
1,"Aug 11, 2024 01:53:42.168135000 EDT",1723355622.168135000,47,60,60,0x0800,4,20,,0xff3a,0x00,0,0,0,0,254,6,0x3dc0,192.168.255.1,192.168.255.129,40,0x00,63019,2223,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x43fb,0,
1,"Aug 11, 2024 01:53:42.168153000 EDT",1723355622.168153000,48,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,2223,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0x47e8,0,
1,"Aug 11, 2024 01:53:42.178066000 EDT",1723355622.178066000,49,60,60,0x0800,4,20,,0xff3b,0x00,0,0,0,0,254,6,0x3dbf,192.168.255.1,192.168.255.129,40,0x00,63019,2223,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x4348,0,
1,"Aug 11, 2024 01:53:42.188145000 EDT",1723355622.188145000,50,60,60,0x0800,4,20,,0xb9cd,0x00,0,0,0,0,254,6,0x832d,192.168.255.1,192.168.255.129,40,0x00,63019,17237,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x2790,0,
1,"Aug 11, 2024 01:53:42.188160000 EDT",1723355622.188160000,51,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,17237,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0x2b7d,0,
1,"Aug 11, 2024 01:53:42.198102000 EDT",1723355622.198102000,52,60,60,0x0800,4,20,,0xb9ce,0x00,0,0,0,0,254,6,0x832c,192.168.255.1,192.168.255.129,40,0x00,63019,17237,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0x26dd,0,
1,"Aug 11, 2024 01:53:42.208074000 EDT",1723355622.208074000,53,60,60,0x0800,4,20,,0x5f6b,0x00,0,0,0,0,254,6,0xdd8f,192.168.255.1,192.168.255.129,40,0x00,63019,29946,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xa9d0,0,
1,"Aug 11, 2024 01:53:42.208086000 EDT",1723355622.208086000,54,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,29946,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0xadbd,0,
1,"Aug 11, 2024 01:53:42.218021000 EDT",1723355622.218021000,55,60,60,0x0800,4,20,,0x5f6a,0x00,0,0,0,0,254,6,0xdd90,192.168.255.1,192.168.255.129,40,0x00,63019,29946,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0xa91d,0,
1,"Aug 11, 2024 01:53:42.228094000 EDT",1723355622.228094000,56,60,60,0x0800,4,20,,0xb3eb,0x00,0,0,0,0,254,6,0x890f,192.168.255.1,192.168.255.129,40,0x00,63019,60150,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xc1dd,0,
