,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
11,162,162,2.0,1,128,6,58203.0,148,0.0,63117,22,341,605,20,24.0,0,0,0,1,1,0,0,4105,52056.0
12,218,218,2.0,1,64,6,58170.0,204,8.0,22,63117,605,449,20,24.0,0,0,0,1,1,0,0,6265,32915.0
13,242,242,2.0,1,128,6,58122.0,228,0.0,63117,22,449,769,20,24.0,0,0,0,1,1,0,0,4105,55005.0
14,162,162,2.0,1,64,6,58225.0,148,8.0,22,63117,769,637,20,24.0,0,0,0,1,1,0,0,6265,32859.0
15,60,60,2.0,1,128,6,58309.0,40,0.0,63117,22,637,877,20,16.0,0,0,0,0,1,0,0,4104,54934.0
16,146,146,2.0,1,128,6,58216.0,132,0.0,63117,22,637,877,20,24.0,0,0,0,1,1,0,0,4104,59767.0
17,154,154,2.0,1,64,6,58232.0,140,8.0,22,63117,877,729,20,24.0,0,0,0,1,1,0,0,6265,32851.0
18,146,146,2.0,1,128,6,58215.0,132,0.0,63117,22,729,977,20,24.0,0,0,0,1,1,0,0,4104,46949.0
19,54,54,2.0,1,64,6,58331.0,40,8.0,22,63117,977,821,20,16.0,0,0,0,0,1,0,0,6265,32751.0
20,138,138,2.0,1,128,6,58222.0,124,0.0,63117,22,821,977,20,24.0,0,0,0,1,1,0,0,4104,29400.0
21,54,54,2.0,1,64,6,58330.0,40,8.0,22,63117,977,905,20,16.0,0,0,0,0,1,0,0,6265,32751.0
22,170,170,2.0,1,128,6,58189.0,156,0.0,63117,22,905,977,20,24.0,0,0,0,1,1,0,0,4104,52988.0
23,54,54,2.0,1,64,6,58329.0,40,8.0,22,63117,977,1021,20,16.0,0,0,0,0,1,0,0,6265,32751.0
24,154,154,2.0,1,64,6,58228.0,140,8.0,22,63117,977,1021,20,24.0,0,0,0,1,1,0,0,6265,32851.0
25,146,146,2.0,1,64,6,58235.0,132,8.0,22,63117,1077,1021,20,24.0,0,0,0,1,1,0,0,6265,32843.0
26,60,60,2.0,1,128,6,58304.0,40,0.0,63117,22,1021,1169,20,16.0,0,0,0,0,1,0,0,4103,54259.0
27,138,138,2.0,1,128,6,58219.0,124,0.0,63117,22,1021,1169,20,24.0,0,0,0,1,1,0,0,4103,27209.0
28,138,138,2.0,1,128,6,58218.0,124,0.0,63117,22,1105,1169,20,24.0,0,0,0,1,1,0,0,4103,30371.0
29,54,54,2.0,1,64,6,58326.0,40,8.0,22,63117,1169,1189,20,16.0,0,0,0,0,1,0,0,6265,32751.0
30,146,146,2.0,1,128,6,58209.0,132,0.0,63117,22,1189,1169,20,24.0,0,0,0,1,1,0,0,4103,19473.0
31,146,146,2.0,1,64,6,58233.0,132,8.0,22,63117,1169,1281,20,24.0,0,0,0,1,1,0,0,6265,32843.0
,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
0,146,146,2.0,1,128,6,58205.0,132,0.0,63117,22,1,1,20,24.0,0,0,0,1,1,0,0,4102,2969.0
1,154,154,2.0,1,64,6,58219.0,140,8.0,22,63117,1,93,20,24.0,0,0,0,1,1,0,0,6265,32851.0
2,146,146,2.0,1,64,6,58226.0,132,8.0,22,63117,101,93,20,24.0,0,0,0,1,1,0,0,6265,32843.0
3,60,60,2.0,1,128,6,58296.0,40,0.0,63117,22,93,193,20,16.0,0,0,0,0,1,0,0,4101,53157.0
4,154,154,2.0,1,128,6,58195.0,140,0.0,63117,22,93,193,20,24.0,0,0,0,1,1,0,0,4101,48867.0
5,154,154,2.0,1,64,6,58217.0,140,8.0,22,63117,193,193,20,24.0,0,0,0,1,1,0,0,6265,32851.0
6,60,60,2.0,1,128,6,58294.0,40,0.0,63117,22,193,293,20,16.0,0,0,0,0,1,0,0,4100,52958.0
7,146,146,2.0,1,128,6,58201.0,132,0.0,63117,22,193,293,20,24.0,0,0,0,1,1,0,0,4100,25238.0
8,154,154,2.0,1,64,6,58216.0,140,8.0,22,63117,293,285,20,24.0,0,0,0,1,1,0,0,6265,32851.0
9,146,146,2.0,1,128,6,58200.0,132,0.0,63117,22,285,393,20,24.0,0,0,0,1,1,0,0,4106,56849.0
10,54,54,2.0,1,64,6,58315.0,40,8.0,22,63117,393,377,20,16.0,0,0,0,0,1,0,0,6265,32751.0
11,138,138,2.0,1,128,6,58207.0,124,0.0,63117,22,377,393,20,24.0,0,0,0,1,1,0,0,4106,11766.0
12,54,54,2.0,1,64,6,58314.0,40,8.0,22,63117,393,461,20,16.0,0,0,0,0,1,0,0,6265,32751.0
13,146,146,2.0,1,128,6,58198.0,132,0.0,63117,22,461,393,20,24.0,0,0,0,1,1,0,0,4106,32745.0
14,54,54,2.0,1,64,6,58313.0,40,8.0,22,63117,393,553,20,16.0,0,0,0,0,1,0,0,6265,32751.0
15,154,154,2.0,1,64,6,58212.0,140,8.0,22,63117,393,553,20,24.0,0,0,0,1,1,0,0,6265,32851.0
16,146,146,2.0,1,128,6,58197.0,132,0.0,63117,22,553,493,20,24.0,0,0,0,1,1,0,0,4105,3849.0
17,54,54,2.0,1,64,6,58311.0,40,8.0,22,63117,493,645,20,16.0,0,0,0,0,1,0,0,6265,32751.0
18,146,146,2.0,1,64,6,58218.0,132,8.0,22,63117,493,645,20,24.0,0,0,0,1,1,0,0,6265,32843.0
